nombre,sigla,cobertura
"OBRA SOCIAL DE CONDUCTORES DE REMISES Y AUTOS AL INSTANTE Y AFINES","OSCRAIA",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL PLASTICO","OSPIP",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA NAVAL","OSPIN",0.30
"OBRA SOCIAL DEL PERSONAL DE CARGA Y DESCARGA","OSPCYD",0.30
"OBRA SOCIAL DE TRABAJADORES DE PERKINS ARGENTINA S.A.I.C","OSTP",0.30
"OBRA SOCIAL DE PORTUARIOS ARGENTINOS","OSPA",0.30
"OBRA SOCIAL DE LOS EMPLEADOS DE COMERCIO Y ACTIVIDADES CIVILES","OSECAC",0.30
"OBRA SOCIAL DEL PERSONAL DEL JOCKEY CLUB DE ROSARIO","",0.30
"OBRA SOCIAL PARA LOS TRABAJADORES DE LA EDUCACION PRIVADA","OSTEP",0.30
"OBRA SOCIAL DEL SINDICATO OBREROS Y EMPLEADOS DE EMPRESAS DE LIMPIEZA,SERVICIOS Y AFINES DE CORDOBA","OSSOELSAC",0.30
"OBRA SOCIAL DEL PERSONAL DE AERONAVEGACION DE ENTES PRIVADOS","OSPADEP",0.30
"OBRA SOCIAL DEL PERSONAL DE ESTACIONES DE SERVICIO Y G.N.C, GARAGES, PLAYAS DE ESTACIONAMIENTO Y LAVADEROS AUTOMATICOS","OSPESGYPE",0.30
"OBRA SOCIAL DEL PERSONAL DE LA CONSTRUCCION","OSPECON",0.30
"OBRA SOCIAL DE ACTORES","OSA",0.30
"OBRA SOCIAL DE MAQUINISTAS DE TEATRO Y TELEVISION","",0.30
"OBRA SOCIAL PEONES DE TAXIS DE ROSARIO","O.S.PE.TAX.R",0.30
"OBRA SOCIAL DEL PERSONAL DE SEGURIDAD COMERCIAL, INDUSTRIAL E INVESTIGACIONES PRIVADAS","OSPSIP",0.30
"OBRA SOCIAL DEL PERSONAL MOSAISTA","OSPM",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA FIDEERA","OSPIF",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL VESTIDO","OSPIV",0.30
"OBRA SOCIAL DE RELOJEROS Y JOYEROS","OSRJA",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL TRACTOR","OSPIT",0.30
"OBRA SOCIAL DEL PERSONAL DE JABONEROS","OSPEJ",0.30
"OBRA SOCIAL  PARA EL PERSONAL DE LA INDUSTRIA FORESTAL DE SANTIAGO DEL ESTERO","OSPIFSE",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA LADRILLERA A MAQUINA","OSPILM",0.30
"OBRA SOCIAL MODELOS ARGENTINOS","OSMA",0.30
"OBRA SOCIAL DEL PERSONAL DE PRENSA DE MENDOZA","",0.30
"OBRA SOCIAL DE VAREADORES","",0.30
"OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD FRUTICOLA","OSPAF",0.30
